game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
3,-3,-6,0,1,2021020972,0.5499125053683214,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
4,-4,-4,0,1,2021020972,0.5501489209445352,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
5,-4,-4,0,1,2021020972,0.5502372664305245,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
6,-4,-5,0,1,2021020972,0.5502710807889551,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
7,-5,-5,0,1,2021020972,0.5505685337375468,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
8,-6,-5,0,1,2021020972,0.5509282821027927,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
9,-5,-5,0,1,2021020972,0.5507893537116262,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
10,-6,-4,0,1,2021020972,0.5513022379016405,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
11,-7,-3,0,1,2021020972,0.5518954840832347,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
12,-7,-2,0,1,2021020972,0.5521952732024688,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
13,-8,-2,0,1,2021020972,0.5528000125824838,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
14,-9,-1,1,1,2021020972,0.6703298298560321,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
15,-10,-1,1,1,2021020972,0.6787391232092878,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
16,-10,-1,1,1,2021020972,0.6866547376564935,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
17,-10,-1,1,1,2021020972,0.6944631130978975,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
18,-10,-1,1,1,2021020972,0.702161308226891,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
19,-10,0,1,1,2021020972,0.7098903287094791,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
20,-10,0,1,1,2021020972,0.7173654689828383,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
21,-9,1,1,1,2021020972,0.7243486409750799,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
